지식기술번호,지식기술명
106,인공지능 도메인 관련 지식
107,인공지능 특징(feature)의 추상화 표현 지식
108,특징에 대한 변수 지식
109,특징의 변수화 처리 능력
110,특징의 중요도 지식
111,변수 및 피처가 분석 모델을 테스트하고 검증할 때 모델 성능에 미치는 영향에 대한 지식
112,인공지능 주요 특징의 중요도와 영향력 지식
113,데이터 변환 테크닉
114,"데이터 처리, 정제, 가공 테크닉"
115,데이터 Transformation
116,원시 데이터를 추출하거나 처리하는 변환 기법
117,데이터 처리 기술
118,인공지능 데이터 처리 기술
119,데이터 Cleansing
120,데이터 유형 변환기술
121,데이터 획득 전략 수립 능력
122,"데이터 수집, 서식 지정, 축소, 분해 및 크기 조정을 포함하여 머신 러닝 프로세스에 필요한 데이터 세트 준비 활동"
123,비정형 데이터 지식
124,데이터 유형변환 기술
125,데이터 수집 검토 기준 수립 능력
126,정형 데이터 지식
127,데이터 분석을 위한 고객 요구 사항을 명확하게 정의하는 것의 중요성
128,데이터베이스 관리시스템 소프트웨어
129,비즈니스 인텔리전스 및 데이터 분석 소프트웨어 
130,데이터 유형별 전환도구 사용 기술
131,"데이터를 수집, 저장, 분석 및 시각화하는 데 사용되는 도구"
132,학습모델 프로그래밍 기술
133,데이터 처리용 프로그램 언어 활용 기술
134,"데이터 관리의 윤리적, 전문적 문제"
135,데이터 분석의 기본 개념 및 기본 분석 기법
136,일상적인 통계 분석을 수행하는 방법
137,데이터 해석과 분석 테크닉
138,지능적 추론
139,연관성 및 패턴화 관련 머신러닝 기법
140,예측 모델을 위한 지도학습 머신러닝 기법
141,인공지능 데이터에 대한 지식
142,인공지능 데이터 지식
143,인공지능 도메인 관련 지식
144,데이터 라벨링 스펙 정의 능력
145,"데이터 수집, 포맷팅, 축소, 분해 및 리스케일링을 포함하여 기계 학습 프로세스에 필요한 데이터세트 준비 활동"
146,데이터 수집에 대한 지식
147,유형별 데이터 처리 기법 지식
148,인공지능 데이터 객체의 표현방식 지식
149,인공지능 학습모델 지식
150,모델 성능 검증을 위한 데이터셋 분할 및 샘플링 처리 기술
151,인공지능 모델 프로그래밍 기술
152,인공지능 모델 알고리즘에 대한 지식
153,연관성 및 패턴화 관련 머신러닝 기법
154,예측 모델을 위한 지도학습 머신러닝 기법
155,모델 성능 검증 방법
156,대용량 데이터를 처리하는 방법
157,데이터 분산기술
158,실시간 데이터 처리 구현 방법
159,Hadoop 활용 기술
160,차원 축소 관련 수학적 기법
161,"파이프라인에 따른 학습, 추론 데이터 저장 관리"
162,데이터 워크플로우 관리 솔루션 활용 기술
163,데이터 파이프라인 구성 기술 
164,일상적인 데이터 분석 작업을 수행하는 단계와 이를 수행하는 방법
165,프로세스 분석 및 설계 기술
166,데이터 품질을 개선하는 데 사용되는 필수 데이터 정리 기술
167,데이터 Cleansing
168,데이터 정제에 사용되는 업계 표준 접근 방식 및 적용 방법
169,데이터 수명 주기
170,데이터 정확성을 유지하는 데 사용되는 데이터 품질 관리 기술
171,"데이터 거버넌스, 큐레이션, 정보 아키텍처 및 상호 운용성 보장의 중요성"
172,"누락된 값, 중복 데이터, 잘못된 데이터 및 이러한 문제를 처리하는 방법을 포함하여 발생할 수 있는 잠재적인 데이터 품질 문제"
173,데이터셋의 바이어스를 식별하고 줄이는 기법 및 적용 방법
174,요구사항 자료 수집 기술
175,"요구사항 분석, 도출 기술"
176,요구사항 분석 능력
177,요구사항 분류 및 구조화 기술
178,요구사항 변경 및 추적 기술
179,요구사항 도출 능력
180,요구사항 검증 능력
181,요구사항 수집 기법 지식
182,요구사항 상세화 능력
183,해당 도메인 인공지능 서비스 목적과 한계 분석을 위한 요구공학 지식
184,인공지능 서비스가 적용되는 도메인의 데이터별 흐름
185,인공지능 서비스가 적용되는 도메인 지식
186,인공지능 문제의 특징에 관한 지식
187,인공지능 문제 특징에 따라 문제 해결방법을 탐색할 수 있는 기술
188,인공 지능 솔루션이 해결할 수 있는 문제 유형
189,인공지능 문제의 특징을 명확히 분리할 수 있는 기술
190,최신 IT 기술 동향
191,최신 기술 트렌드 파악 능력
192,내·외부 환경 자료 수집 능력
193,인공지능 서비스 개념
194,인공지능 응용분야 파악 능력
195,인공지능 서비스 시장분석 지식
196,인공지능 서비스 산업과 시장지식
197,전략적 기획 및 IT 비즈니스 요구 사항에 대한 우선 순위 지정
198,비즈니스 민첩성
199,비즈니스 니즈 분석
200,인공지능 서비스 산업에 대한 지식
201,인공지능 서비스 추진 과정의 제약사항 지식
202,"제약사항 분석, 정리 기술"
203,제약사항 식별 기법
204,인공지능 서비스 제공과 사용 주체별 이해관계 지식
205,인공지능 서비스 모델 프로세스 도식화 능력
206,인공지능 서비스 응용 범위 분류 능력
207,인공지능 서비스 비즈니스 환경 분석 방법
208,인공지능 서비스 기술에 대한 기본지식
209,인공지능 최신 기술 동향
210,인공지능 서비스 활용 지식
211,인공지능 서비스에 대한 지식
212,인공지능 서비스 유사 사례 정보 지식
213,인공지능 서비스 국내외 동향에 대한 지식
214,인공지능 서비스가 적용되는 도메인의 데이터별 흐름
215,인공지능 서비스 시장 예측방법에 관한 지식
216,인공지능 서비스 시나리오별 비교 평가 지식
217,인공지능 서비스 결과 예측 능력
218,요구사항 변경 및 추적 기술
219,"선정된 인공지능 서비스 관련, 유사 비즈니스의 관리 지표 벤치마킹 방법론"
220,서비스 개선 절차 및 방법
221,AI구축 및 운영 환경 결정 능력
222,프로젝트 수행목표를 분할하고 할당하는 능력
223,인공지능 문제의 특징을 명확히 분리할 수 있는 기술
224,인공지능 문제의 목표를 설정할 수 있는 능력
225,인공지능 문제 해결 방법에 대한 지식
226,인공지능 문제 특징에 따라 문제 해결방법을 탐색할 수 있는 기술
227,인공지능 문제의 특징에 관한 지식
228,"신규 서비스에 대한 효과성, 실현가능성 분석 능력"
229,인공 지능 솔루션이 해결할 수 있는 문제 유형
230,"현재 인공지능 기술 및 방법의 기능적, 기술적 한계"
231,요구사항을 활용하여 후보모델 유형을 정의할 수 있는 능력
232,인공지능 서비스가 적용되는 도메인의 데이터별 흐름
233,인공지능 서비스가 적용되는 도메인 지식
234,인공지능 서비스 모델 프로세스 도식화 능력
235,서비스 방향
236,인공지능 서비스 시나리오별 비교 평가 지식
237,인공지능 서비스 결과 예측 능력
238,인공지능 서비스 시장 예측방법에 관한 지식
239,인공지능 서비스 응용 범위 분류 능력
240,인공지능 서비스 추진 과정의 제약사항 지식
241,판단 및 의사결정
242,창의적 생각
243,외부 환경 분석 능력
244,인공지능 서비스 분석 능력
245,의사소통과 수단
246,경청
247,"수집된 자료 분류, 분석 능력"
248,데이터 분석을 위한 명확한 고객 요구사항 정의의 중요성
249,"선정 인공지능 서비스 분야 제약사항에 대한 제도, 기술 관련 지식"
250,인공지능 서비스 모델 프로세스 도식화 능력
251,인공지능 서비스가 적용되는 도메인 지식
252,전략적 기획 및 IT 비즈니스 요구 사항에 대한 우선 순위 지정
253,"신규 서비스에 대한 효과성, 실현가능성 분석 능력"
254,"시장변화, 기술변화, 수요자 변화 분석 능력"
255,서비스 개선 절차 및 방법
256,AI서비스 기술 선정 능력
257,AI구축 및 운영 환경 결정 능력
258,중요도에 따른 우선순위 파악 능력
259,조사 결과를 기반으로 논리적으로 목표를 설정하는 능력
260,우선순위가 결정된 서비스들을 통합하는 능력
261,국내외 인공지능 관련 최신 오픈소스 트랜드 파악 능력
262,시장 환경 자료 수집 능력
263,애플리케이션 컨테이너 활용 기술
264,인공지능 서비스 모델 성능지표와 평가에 대한 지식
265,클라우드시스탬 관련 지식
266,플랫폼 인터페이스 지식
267,인공지능 모델 설계 기술
268,인공지능 모델 프로그래밍 기술
269,모델 테스트 수행 및 결과 해석 능력
270,인공지능 모델 연동 기술
271,인공지능 모델링 알고리즘 이해
272,"인지모델 테스트 수행, 결과 해석 능력"
273,"추론모델 테스트 수행, 결과 해석 능력"
274,"인공지능 기술(학습, 추론, 머신러닝, 딥러닝 등)"
275,인공지능서비스 플랫폼 관련 지식
276,네트워크 최신 기술관련 지식
277,인공지능 서비스 모델 성능지표와 평가에 대한 지식
278,클라우드시스탬 관련 지식
279,국내외 인공지능 관련 최신 오픈소스 트랜드 파악 능력
280,시장 환경 자료 수집 능력
281,인공지능 요소 기술 표준 분석 능력
282,대용량 데이터를 처리하는 방법
283,실시간 데이터 처리 구현 방법
284,관련 빅데이터 스토리지 플랫폼
285,데이터 분석을 지원하는 새로운 맞춤형 분석 도구를 개발하는 방법
286,클라우드시스탬 관련 지식
287,"파이프라인에 따른 학습, 추론 데이터 저장 관리"
288,데이터 분산기술
289,향후 데이터 생성 및 스케일업을 계획하는 방법
290,데이터 처리 기술
291,관련 빅데이터 스토리지 플랫폼
292,"파이프라인에 따른 학습, 추론 데이터 저장 관리"
293,향후 데이터 생성 및 스케일업을 계획하는 방법
294,대용량 데이터를 처리하는 방법
295,실시간 데이터 처리 구현 방법
296,데이터 분산기술
297,데이터 저장관리 시스템 활용 기술
298,데이터 파이프라인 구성 기술
299,데이터 처리 기술
300,설계 기법 및 도구에 대한 지식
301,"분산, 병렬 처리 시스템 개념"
302,내·외부 연계 대상 데이터 특성
303,내·외부 데이터 연계 설계 능력
304,내부 인터페이스 API 사용 능력
305,내부 인터페이스 구현 기술
306,국내외 인공지능 관련 최신 오픈소스 트랜드 파악 능력
307,운영체제 설치 운용 능력
308,인공지능서비스 플랫폼 관련 지식
309,"인공지능 기술(학습, 추론, 머신러닝, 딥러닝 등)"
310,인공지능 모델 관련 지식
311,인공지능 모델 연동 기술
312,요구사항 분석 능력
313,메타데이터관리 소프트웨어
314,설계 기법 및 도구에 대한 지식
315,학습모델 프로그래밍 기술
316,인공지능 모델 설계 기술
317,인공지능 모델 프로그래밍 기술
318,고성능 컴퓨팅 관련 지식
319,네트워크 최신 기술관련 지식
320,운영체제 설치 운용 능력
321,인공지능서비스 플랫폼 관련 지식
322,"분산, 병렬 처리 시스템 개념"
323,데이터베이스관리시스템 소프트웨어 
324,요구사항 분석 능력
325,인공지능 플랫폼 비기능 요소 분석 능력
326,데이터 분산기술
327,"인공지능 기술(학습, 추론, 머신러닝, 딥러닝 등)"
328,인공지능 모델링 알고리즘 이해
329,인공지능 프레임워크를 이용한 개발 능력
330,추론모델 프로그래밍 기술
331,국내외 인공지능 관련 최신 오픈소스 트랜드 파악 능력
332,"수집된 자료 분류, 분석 능력"
333,시장 환경 자료 수집 능력
334,인공지능 요소 기술 표준 분석 능력
335,"인공지능 기술(학습, 추론, 머신러닝, 딥러닝 등)"
336,인공지능 모델링 알고리즘 이해
337,인공지능 프레임워크를 이용한 개발 능력
338,인공지능 모델 연동 기술
339,인공지능 모델 프로그래밍 기술
340,"데이터를 수집, 저장, 분석 및 시각화하는 데 사용되는 도구"
341,데이터베이스관리시스템 소프트웨어
342,"수집된 자료 분류, 분석 능력"
343,"인공지능 기술(학습, 추론, 머신러닝, 딥러닝 등)"
344,인공지능 모델링 알고리즘 이해
345,모델 테스트 수행 및 결과 해석 능력
346,인공지능 모델 설계 기술
347,인공지능 모델 프로그래밍 기술
348,고성능 컴퓨팅 관련 지식
349,운영체제 설치 운용 능력
350,관련 빅데이터 스토리지 플랫폼
351,수집 중인 데이터의 스토리지 요구 사항
352,"수집된 자료 분류, 분석 능력"
353,시장 환경 자료 수집 능력
354,데이터 워크플로우 관리 솔루션 활용 기술 
355,데이터 저장관리 시스템 활용 기술
356,데이터베이스관리시스템 소프트웨어 
357,고성능 컴퓨팅 관련 지식
358,"분산, 병렬 처리 시스템 개념"
359,인공지능 요소 기술 표준 분석 능력
360,인공지능 플랫폼 비기능 요소 분석 능력
361,향후 데이터 생성 및 스케일업을 계획하는 방법
362,"파이프라인에 따른 학습, 추론 데이터 저장 관리"
363,내부 인터페이스 구현 기술
364,내부 인터페이스 API 사용 능력
365,인공지능 프레임워크를 이용한 개발 능력
366,추론모델 프로그래밍 기술
367,인공지능서비스 플랫폼연동 기술
368,학습모델 프로그래밍 기술
369,정보 보안 고려사항을 포함한 데이터베이스 설계 및 관리
370,"보안 패치, 업그레이드 관련 능력"
371,인공지능 플랫폼 비기능 요소 분석 능력
372,플랫폼 인터페이스 지식
373,데이터 모델링 기법
374,"인공지능 기술(학습, 추론, 머신러닝, 딥러닝 등)"
375,인공지능 프레임워크를 이용한 개발 능력
376,인공지능 모델링 알고리즘 이해
377,추론모델 프로그래밍 기술
378,"데이터베이스 시스템의 설계, 구현 및 유지관리 방법"
379,플랫폼 인터페이스 지식
380,데이터베이스관리시스템 소프트웨어 
381,인공지능 프레임워크를 이용한 개발 능력
382,소프트웨어 테스팅 국제표준규격(ISO/IEC/IEEE 29119)
383,"통합테스트 기법, 절차에 대한 적용 능력"
384,"데이터 구조 및 데이터베이스 시스템 설계, 구현 및 유지 관리"
385,데이터 분석을 지원하는 새로운 맞춤형 분석 도구를 개발하는 방법
386,데이터베이스 관리 지식
387,수집 중인 데이터의 스토리지 요구 사항
388,실시간 데이터 처리 구현 방법
389,학습모델 프로그래밍 기술
390,설계 기법 및 도구에 대한 지식
391,데이터 무결성의 중요성
392,정보 보안 고려사항을 포함한 데이터베이스 설계 및 관리
393,관련 빅데이터 스토리지 플랫폼
394,수집 중인 데이터의 스토리지 요구 사항
395,대용량 데이터를 처리하는 방법
396,데이터 분산기술
397,데이터 인터페이스 설계 기술
398,데이터 저장관리 시스템 활용 기술
399,요구사항 관리 능력
400,요구사항 수집 능력
401,요구사항 정의서 작성 능력
402,인공지능 플랫폼의 구축 목표에 대한 지식
403,요구사항 분석 능력
404,"인공지능 기술(학습, 추론, 머신러닝, 딥러닝 등)"
405,"인지모델 테스트 수행, 결과 해석 능력"
406,"추론모델 테스트 수행, 결과 해석 능력"
407,개인정보보호 등의 데이터 보안 기술
408,"보안 패치, 업그레이드 관련 능력"
409,프레임워크 설계 능력
410,데이터 인터페이스 설계 기술
411,데이터 저장관리 시스템 활용 기술
412,데이터 수집에 대한 지식
413,데이터베이스 관리 지식
414,"데이터를 수집, 저장, 분석 및 시각화하는 데 사용되는 도구"
415,향후 데이터 생성 및 스케일업을 계획하는 방법
416,데이터 정합성 점검 능력
417,데이터 처리 기술
418,데이터 파이프라인 구성 기술
419,데이터 처리용 프로그램 언어 활용 기술
420,데이터 클린징 기술
421,대용량 데이터를 처리하는 방법
422,실시간 데이터 처리 구현 방법
423,관련 빅데이터 스토리지 플랫폼
424,수집 중인 데이터의 스토리지 요구 사항
425,클라우드시스탬 관련 지식
426,데이터 분산기술
427,데이터베이스 관리 지식
428,향후 데이터 생성 및 스케일업을 계획하는 방법
429,데이터 처리 기술
430,고성능 컴퓨팅 관련 지식
431,"분산, 병렬 처리 시스템 개념"
432,네트워크 최신 기술관련 지식
433,인공지능 하드웨어 최신 기술관련 지식
434,하드웨어 인프라 아키텍처 구성론
435,네트워크 설치 및 환경 구성 기술
436,서버설치 환경구성 기술
437,운영체제 설치 운용 능력
438,내·외부 데이터 연계 설계 능력
439,데이터 수집 및 변환 방법
440,메타데이터관리 소프트웨어
441,내부 인터페이스 API 사용 능력
442,외부 인터페이스 API 사용 능력
443,내부 인터페이스 구현 기술
444,외부 인터페이스 구현 기술
445,내·외부 데이터 연계 설계 능력
446,내·외부 연계 대상 데이터 특성
447,데이터 간 연관관계 분석 기법
448,데이터 모델링 기법
449,인공지능 모델링 알고리즘 이해
450,인공지능 프레임워크를 이용한 개발 능력
451,추론모델 프로그래밍 기술
452,인공지능 서비스 모델 성능지표와 평가에 대한 지식
453,"인지모델 테스트 수행, 결과 해석 능력"
454,"추론모델 테스트 수행, 결과 해석 능력"
455,기술통계법
456,데이터 분포 및 검정통계량 설정 능력
457,로지스틱분석 적용 기술
458,상관분석 적용 기술
459,통계처리 결과 해석 방법
460,"유의수준, 유의확률, 신뢰구간 적용 기술"
461,데이터 확률분포의 활용 능력
462,모델링 도구 사용기술
463,회귀분석 적용 기술
464,이산형 및 연속형 데이터에 대한 모델 평가 산식 기술
465,기술통계법
466,상관분석 적용 기술
467,데이터분석도구 활용 능력
468,데이터 수집 및 시각화 방법
469,데이터 확률분포의 활용 능력
470,회귀분석 적용 기술
471,로지스틱분석 적용 기술
472,데이터 요구사항 도출 능력
473,데이터 요구사항 분류 능력
474,데이터 요구사항 분석 능력
475,품질속성별 아키텍처 요건 도출 능력
476,데이터 모델링 설계도구 활용 능력
477,데이터 처리용 프로그램 언어 활용 기술
478,데이터 정합성의 중요성
479,데이터 정제 절차
480,데이터 처리 기술
481,데이터 품질관리 프로세스 설계 능력
482,데이터셋 탐색 및 전처리 기술
483,"다양한 DB에서 데이터 수집,연계,분석"
484,텍스트 분석 및 처리
485,데이터 정제 절차
486,데이터 처리 기술
487,실시간 데이터 프로세싱 적용법
488,데이터 처리용 도구 활용 능력
489,데이터 수집 및 시각화 방법
490,머신러닝 기법별 특성
491,연관성 및 패턴화 관련 머신러닝 기법
492,예측 모델을 위한 지도학습 머신러닝 기법
493,이슈 분석을 위한 가설 수립 능력
494,Self-Learning Systems (자가학습 시스템)
495,머신러닝 알고리즘 구현을 위한 프로그램 언어 활용 기술
496,모델 성능 검증 방법
497,차원 축소 관련 수학적 기법
498,시각인지 기술
499,언어인지 기술
500,음성인지 기술
501,군집화 기법
502,알고리즘 설계 및 구현 능력
503,모델 성능 검증을 위한 데이터셋 분할 및 샘플링 처리 기술
504,앙상블 모델 적용 기술
505,Froecasting 모델 적용 기술
506,자동화 처리 및 시스템 구현 위한 개발 능력
507,예측값과 실제값 비교를 위한 혼돈매트릭스 표
508,교차검증 활용 기술
509,기술통계법
510,데이터 분포 및 검정통계량 설정 능력
511,데이터 정제 절차
512,데이터 처리 기술
513,데이터분석도구 활용 능력
514,데이터셋 탐색 및 전처리 기술
515,통계처리 결과 해석 방법
516,"유의수준, 유의확률, 신뢰구간 적용 기술"
517,표본 추출 기법
518,업무 도메인 분석 능력
519,데이터 요구사항 도출 능력
520,데이터 요구사항 분류 능력
521,프로세스 분석 및 설계 기술
522,보안 아키텍쳐
523,데이터 표준 규칙
524,핵심 이해관계자에게 데이터기반 해결방식 제시
525,데이터 정합성의 중요성
526,데이터 표준 규칙
527,업무 도메인 분석 능력
528,비즈니스 모델링 기술
529,이슈 분석을 위한 가설 수립 능력
530,데이터 수집 및 시각화 방법
531,업무 도메인 분석 능력
532,이슈 분석을 위한 가설 수립 능력
533,통계처리 결과 해석 방법
534,분석 결과의 통계적 해석 및 업무적용 방법
535,표본 추출 기법
536,빅데이터 시각화 기법
537,시각화 요건 명세 기술
538,이슈 분석을 위한 가설 수립 능력
539,"시각화 기획, 모델링, 디자인 결과물 분석 방법론"
540,요구사항 도출 능력
541,우선순위 도출 기술
542,우선순위 선정 능력
543,요구사항 분석 방법
544,일정 관리 도구 활용 능력
545,전략 및 계획 수립 능력
546,전략 및 기획 보고서 작성능력
547,정보보호 성과보고서 작성능력
548,기획 보고서 작성능력
549,조직의 핵심 사업 및 미션에 관한 지식
550,텍스트 분석 및 처리
551,텍스트 데이터 문장 의미 분석 능력
552,분석 모형 테스트 수행 및 결과 분석 능력
553,워드 클라우드 및 문서 클러스터링 기법
554,정형 데이터 및 비정형 데이터 분석에 특화된 데이터를 다룰 수 있는 기술
555,대용량 데이터 핸들링 및 처리 능력
556,데이터 오류 및 결측치 탐색 능력
557,연관성 및 패턴화 관련 머신러닝 기법
558,데이터 아카이빙 기술
559,데이터 유형별 데이터 수집 기술
560,분석 모델 성능에 대한 데이터 품질의 영향
561,"누락된 값, 중복 데이터, 잘못된 데이터 및 이러한 문제를 처리하는 방법을 포함하여 발생할 수 있는 잠재적인 데이터 품질 문제"
562,데이터 처리 기술
563,UI/UX 구현 기법
564,그래픽 디자인 라이브러리 활용 능력
565,데이터 시각화 도구 활용 능력
566,시각화 도구 사용 방법
567,시각화 구현 프로그래밍 능력
568,데이터 시각화 및 인포그래픽스
569,빅데이터 시각화 기법
570,디자인 기법 일반
571,시각정보 디자인 7원칙
572,시각화 도구 및 기술 선정 능력
573,시각화 디자인 원칙 및 원리
574,자크베르뎅 그래픽 7요소
575,데이터 관리와 관련된 보고서 작성 방법
576,데이터 품질관리 프로세스 설계 능력
577,데이터와 시각화 요소 매핑 요건 정의 능력
578,스토리보드 작성을 위한 시나리오 분석 능력
579,통계처리 결과 해석 방법
580,데이터 대상과 범위
581,데이터 라벨링 도구 활용
582,시각화 스토리보드 기반 시각화 구성요소 도출 능력
583,탐색적 데이터 분석(EDA) 능력
584,데이터 밒 정보보호 정책동향
585,데이터 푸질 분석 기법
586,빅데이터 오류 및 결합 분석 능력
587,데이터 Wrangling
588,데이터 품질 진단 방법
589,데이터 품질 분석 기법
590,SQL 사용 방법
591,핵심품질항목(CTQ : Critical To Quality)
592,데이터 보호 및 법적 문제의 범위
593,변수 및 피처가 분석 모델을 테스트 하고 검증할 때 모델 성능에 미치는 영향에 대한 지식
594,데이터 품질관리 방법론
595,데이터 보호 범위 및 법적 문제
596,데이터 유형 변환 기술
597,데이터 Cleansing
598,데이터 Transformation
599,데이터 증강 지식
600,비정형 데이터 지식
601,이미지 오그멘테이션(image augmentation) 기법
602,빅데이터 플랫폼 기술 동향
603,빅데이터 플랫폼 아키텍처
604,"누락된 값, 중복 데이터, 잘못된 데이터 및 이러한 문제를 처리하는 방법을 포함하여 발생할 수 있는 잠재적인 데이터 품질 문제"
605,데이터 품질을 개선하는데 사용되는 필수 데이터 정리 기술
606,전처리 실행도구 사용기술
607,변수 및 피처가 분석 모델을 테스트 하고 검증할 때 모델 성능에 미치는 영향에 대한 지식
608,분석 모델 성능에 대한 데이터 품질의 영향
609,탐색적 데이터 분석(EDA) 능력
610,"객체/컴포넌트 지향 개발 소프트웨어( Python, R)"
611,데이터셋의 바이어스를 식별하고 줄이는 기법 및 적용방법
612,데이터 라벨링 스펙 정의 능력
613,데이터 정제에 사용되는 업계 표준 접근 방식 및 적용 방법
614,데이터 Ingestion
615,"누락된 값, 중복 데이터, 잘못된 데이터 및 이러한 문제를 처리하는 방법을 포함하여 발생할 수 있는 잠재적인 데이터 품질 문제"
616,데이터 품질을 개선하는데 사용되는 필수 데이터 정리 기술
617,전처리 실행도구 사용기술
618,비즈니스 도메인 특성
619,"객체/컴포넌트 지향 개발 소프트웨어(Python, R)"
620,데이터셋의 바이어스를 식별하고 줄이는 기법 및 적용 방법
621,데이터 획득 전략 수립 능력
622,데이터 품질 기준
623,데이터 품질 분석 기법
624,빅데이터 오류 및 결합 분석 능력
625,데이터 품질 진단 방법
626,데이터 품질 분석 기법
627,빅데이터 품질 진단 능력
628,"누락된 값, 중복 데이터, 잘못된 데이터 및 이러한 문제를 처리하는 방법을 포함하여 발생할 수 잇는 잠재적인 데이터 품질 문제"
629,데이터 품질을 개선하는 데 사용되는 필수 데이터 정리 기술
630,데이터 기준 지표(DQI : Data Quality Index)
631,빅데이터 플랫폼 기술 동향
632,빅데이터 오류 및 결합 분석 능력
633,빅데이터 플랫폼 아키텍처
634,빅데이터 품질 오류 패턴 분류 기술
635,빅데이터 품질 지표 품질 현황 분석 능력
636,빅데이터 품질 진단 능력
637,빅데이터 품질관리 기술
638,빅데이터 품질기준지표 매핑 방법
639,빅데이터 품질 검증 규칙 설계 능력
640,요구사항 명세서 분석 능력
641,빅데이터 플랫폼 구조 개념
642,시스템 아키텍처 구성요소
643,데이터 품질 기준
644,데이터 품질관리 프레임워크
645,데이터 품질관리 프로세스 설계 능력
646,데이터 품질관리시스템 구성 능력
647,데이터 품질관리시스템 구조 설계 능력
648,데이터 품질관리시스템 귀조 설계서 분석 능력
649,데이터 품질 분석 기법
650,데이터 품질 진단 방법
651,데이터 품질 분석 기법
652,빅데이터 품질 진단 능력
